L64      00101040840000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1613:530059490
L64      00201040840000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1613:530059490
64H      0104084001001610000031/10/1613:54000005001059491
L64      00101040840000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1613:540059491
64H      0104084002001610000031/10/1614:05000007591059507
L64      00101040840000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1614:050059507
L64      00201040840000135000000000003400000004590911480BASTONETS DE FUET        31/10/1614:050059507
64H      0101020001001610000031/10/1613:50000005001059482
L64      00101010200000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1613:500059482
64H      0104093001001610000031/10/1614:16000005001059532
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:160059532
64H      0104083003001610000031/10/1614:49000009001059592
L64      00101040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1614:490059592
L64      00201040830000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:490059592
L64      00301040830000000000000100000300000003000999005Z. CONO DE LLAMINETS CHOR31/10/1614:490059592
64H      0104084001001610000031/10/1610:35000005001059192
L64      00101040840000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1610:350059192
64H      0101020001001610000031/10/1613:52000020001059487
L64      00101010200000000000000400000500000020000999001Z. CONO DE ESPALDA IBERIC31/10/1613:520059487
64H      0104083002001610000031/10/1615:41000006001059649
L64      00101040830000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1615:410059649
L64      00201040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1615:410059649
64H      0104093001001610000031/10/1614:57000005001059600
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:570059600
64H      0101079001001610000031/10/1611:33000005001059260
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1611:330059260
64H      0104083003001610000031/10/1611:10000009001059234
L64      00101040830000000000000100000300000003000990400VASO CHIPS & HAM.-       31/10/1611:100059234
L64      00201040830000000000000100000300000003000999003Z. CONO DE SALCHICHON MON31/10/1611:100059234
L64      00301040830000000000000300000100000003000970842EMPANADA MINI CAPRESSE   31/10/1611:100059234
64H      0104093001001610000031/10/1616:14000005001059673
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1616:140059673
64H      0104083001001610000031/10/1611:50000003001059276
L64      00101040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1611:500059276
64H      0101079001001610000031/10/1615:51000005001059658
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1615:510059658
64H      0104083001001610000031/10/1615:19000003001059624
L64      00101040830000000000000100000300000003000999004Z. CONO DE LLAMINETS     31/10/1615:190059624
64H      0104083001001610000031/10/1611:09000010001059233
L64      00101040830000000000000200000500000010000999016Z. CONO MIXTO GOURMET    31/10/1611:090059233
64H      0104083002001610000031/10/1615:40000008001059648
L64      00101040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1615:400059648
L64      00201040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1615:400059648
64H      0104083002011610000031/10/1611:08000003001059232
L64      00101040830000155000000000003400000005270911009MINI FUETS               31/10/1611:081059232
L64      0010104083-0001550000000-0003400-00005270911009MINI FUETS               31/10/1611:081059232
L64      00201040830000000000000100000300000003000999004Z. CONO DE LLAMINETS     31/10/1611:080059232
64H      0104083002001610000031/10/1615:42000010001059650
L64      00101040830000000000000100000500000005000999015Z. CONO DE CROQUETAS DE P31/10/1615:420059650
L64      00201040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1615:420059650
64H      0104083002001610000031/10/1615:43000005851059651
L64      00101040830000000000000100000275000002750980423CERVEZA BARCELONA BEER   31/10/1615:430059651
L64      00201040830000000000000100000310000003100980496CERVEZA LA BELLA LOLA    31/10/1615:430059651
64H      0103083001001610000031/10/1615:44000005001059652
L64      00101030830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1615:440059652
64H      0104093001001610000031/10/1616:00000005001059665
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1616:000059665
64H      0103084001001610000031/10/1615:46000005001059654
L64      00101030840000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1615:460059654
64H      0104083002001610000031/10/1615:17000008001059621
L64      00101040830000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1615:170059621
L64      00201040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1615:170059621
64H      0104084002001610000031/10/1611:36000006001059264
L64      00101040840000000000000100000300000003000999003Z. CONO DE SALCHICHON MON31/10/1611:360059264
L64      00201040840000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1611:360059264
64H      0104084001001610000031/10/1615:50000003001059657
L64      00101040840000000000000100000300000003000999005Z. CONO DE LLAMINETS CHOR31/10/1615:500059657
64H      0101079001001610000031/10/1611:12000021681059237
L64      00101010790000255000000000008500000021680920263JAMON IB. CEBO YDETALL   31/10/1611:120059237
64H      0104083001001610000031/10/1613:48000010001059479
L64      00101040830000000000000200000500000010000999001Z. CONO DE ESPALDA IBERIC31/10/1613:480059479
64H      0104084001001610000031/10/1611:40000003001059266
L64      00101040840000000000000100000300000003000990400VASO CHIPS & HAM.-       31/10/1611:400059266
64H      0104084001001610000031/10/1612:03000003001059302
L64      00101040840000000000000300000100000003000970842EMPANADA MINI CAPRESSE   31/10/1612:030059302
64H      0103083001001610000031/10/1610:27000010001059184
L64      00101030830000000000000200000500000010000999016Z. CONO MIXTO GOURMET    31/10/1610:270059184
64H      0101079001001610000031/10/1611:46000005001059271
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1611:460059271
64H      0101079001001610000031/10/1611:48000005001059272
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1611:480059272
64H      0101079001001610000031/10/1611:49000005001059273
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1611:490059273
64H      0104084002001610000031/10/1611:43000008001059269
L64      00101040840000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1611:430059269
L64      00201040840000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1611:430059269
64H      0101079001001610000031/10/1611:50000005001059275
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1611:500059275
64H      0104084001001610000031/10/1614:12000003001059523
L64      00101040840000000000000100000300000003000990400VASO CHIPS & HAM.-       31/10/1614:120059523
64H      0101079001001610000031/10/1611:42000005001059268
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1611:420059268
64H      0104084002001610000031/10/1611:30000006001059252
L64      00101040840000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1611:300059252
L64      00201040840000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1611:300059252
64H      0104083001001610000031/10/1611:11000005001059236
L64      00101040830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1611:110059236
64H      0102093002001610000031/10/1611:36000023601059265
L64      00101020930000245000000000003900000009560931479Q. PECORINO CON TRUFA 1/231/10/1611:360059265
L64      00201020930000360000000000003900000014040931479Q. PECORINO CON TRUFA 1/231/10/1611:360059265
64H      0103083001001610000031/10/1610:19000005001059174
L64      00101030830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1610:190059174
64H      0103083001001610000031/10/1610:20000005001059176
L64      00101030830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1610:200059176
64H      0103083001001610000031/10/1611:06000005951059231
L64      00101030830000175000000000003400000005950911480BASTONETS DE FUET        31/10/1611:060059231
64H      0103083001001610000031/10/1611:49000005001059274
L64      00101030830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1611:490059274
64H      0104083001001610000031/10/1614:22000003001059546
L64      00101040830000000000000100000300000003000999009Z. CONO DE QUESO PARMESAN31/10/1614:220059546
64H      0104093001001610000031/10/1614:19000005001059538
L64      00101040930000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:190059538
64H      0104084001001610000031/10/1614:32000003001059564
L64      00101040840000000000000100000300000003000999003Z. CONO DE SALCHICHON MON31/10/1614:320059564
64H      0104083004001610000031/10/1614:21000016001059541
L64      00101040830000000000000100000300000003000999004Z. CONO DE LLAMINETS     31/10/1614:210059541
L64      00201040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:210059541
L64      00301040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:210059541
L64      00401040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1614:210059541
64H      0104083001001610000031/10/1614:24000005001059549
L64      00101040830000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:240059549
64H      0104093001001610000031/10/1614:21000003001059542
L64      00101040930000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1614:210059542
64H      0101079001001610000031/10/1614:30000005001059561
L64      00101010790000000000000100000500000005000990427TAPA JAMON IBERICO       31/10/1614:300059561
64H      0102020003001610000031/10/1613:49000033561059481
L64      00101020200000380000000000002140000008130931887Q. COMTE DOP VAGNE 6 MESE31/10/1613:490059481
L64      00201020200000270000000000002995000008090903258Q. PARMEGIANO REGGIANO 4 31/10/1613:490059481
L64      00301020200000510000000000003400000017340931800Q. OVEJA CON ROMERO 3 KG 31/10/1613:490059481
64H      0104084001001610000031/10/1614:22000006001059545
L64      00101040840000000000000600000100000006000970842EMPANADA MINI CAPRESSE   31/10/1614:220059545
64H      0104093001001610000031/10/1612:47000010001059376
L64      00101040930000000000000200000500000010000999016Z. CONO MIXTO GOURMET    31/10/1612:470059376
64H      0104083002001610000031/10/1614:46000006001059590
L64      00101040830000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:460059590
L64      00201040830000000000000100000300000003000999002Z. CONO DE JAMON G. RVA P31/10/1614:460059590
64H      0104093001001610000031/10/1614:17000005001059533
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1614:170059533
64H      0104093001001610000031/10/1613:33000005001059451
L64      00101040930000000000000100000500000005000999016Z. CONO MIXTO GOURMET    31/10/1613:330059451
64H      0101079001001610000031/10/1614:36000005001059574
L64      00101010790000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:360059574
64H      0104084003001610000031/10/1614:42000013001059583
L64      00101040840000000000000100000500000005000999015Z. CONO DE CROQUETAS DE P31/10/1614:420059583
L64      00201040840000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:420059583
L64      00301040840000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:420059583
64H      0104083004001610000031/10/1614:42000016001059582
L64      00101040830000000000000100000500000005000999015Z. CONO DE CROQUETAS DE P31/10/1614:420059582
L64      00201040830000000000000100000300000003000999007Z. CONO DE QUESO SEMI CAM31/10/1614:420059582
L64      00301040830000000000000100000300000003000999003Z. CONO DE SALCHICHON MON31/10/1614:420059582
L64      00401040830000000000000100000500000005000999001Z. CONO DE ESPALDA IBERIC31/10/1614:420059582
64H      0104083001001610000031/10/1614:35000009001059572
L64      00101040830000000000000300000300000009000999002Z. CONO DE JAMON G. RVA P31/10/1614:350059572
64H      0101079001001610000031/10/1614:22000010001059544
L64      00101010790000000000000200000500000010000999001Z. CONO DE ESPALDA IBERIC31/10/1614:220059544
