SEC 001,001,1020,000000227,000000261,000000000,000128950,01
ART 091216,000000,Z. CONO MIXTO GOURMET    ,001,0001,1020,099016,0000500,000000101,000000000,000050500,0000000,0000000,01
ART 091216,000000,Q. SAN SIMON D.O. KG     ,001,0001,310,031504,0002185,000000000,000001545,000003376,0000000,0000000,01
ART 091216,000000,Q. PECORINO CON TRUFA 1/2,001,0001,310,031479,0003900,000000000,000000540,000002107,0000000,0000000,01
ART 091216,000000,CECINA SAAVEDRA 1/2 PIEZA,001,0001,110,011805,0004195,000000000,000000835,000003503,0000000,0000060,01
ART 091216,000000,Z. CONO DE QUESO SEMI CAM,001,0001,1020,099007,0000300,000000020,000000000,000006200,0000000,0000000,01
ART 091216,000000,JAMON COCIDO ALUMINIO LA ,001,0001,220,020061,0002135,000000000,000000160,000000342,0000000,0000015,01
ART 091216,000000,CHORIZO IBERICO VELA BTA.,001,0001,110,010230,0002410,000000000,000001770,000004266,0000000,0000060,01
ART 091216,000000,VASO CHIPS & HAM.-       ,001,0001,1010,090400,0000300,000000021,000000000,000006300,0000000,0000000,01
ART 091216,000000,Z. CONO DE LLAMINETS CHOR,001,0001,1020,099005,0000500,000000005,000000000,000002300,0000000,0000000,01
ART 091216,000000,Q. PARMEGIANO REGGIANO 4 ,001,0001,310,003258,0002995,000000000,000001800,000005392,0000000,0000000,01
ART 091216,000000,Q. COMTE LA VACHE 18 M.  ,001,0001,310,032012,0003170,000000000,000000285,000000903,0000000,0000000,01
ART 091216,000000,CHORIZO IBERICO VELA BTA.,001,0001,110,010230,0002410,000000000,000001230,000002964,0000000,0000060,01
ART 091216,000000,CHICHARRONES DE AIGUAFRED,001,0001,110,000015,0003515,000000000,000000300,000001055,0000000,0000060,01
ART 091216,000000,Q. P. CURADO CASA DEL BOS,001,0001,310,030774,0004240,000000000,000000305,000001293,0000000,0000000,01
ART 091216,000000,Q. COMTE DOP VAGNE 6 MESE,001,0001,310,031887,0002140,000000000,000000285,000000610,0000000,0000000,01
ART 091216,000000,ESPALDA LONCHEADA IB. BTA,001,0001,240,020010,0001165,000000001,000000000,000001165,0000000,0000000,01
ART 091216,000000,Q. CABRA CON PIMIENTA 500,001,0001,310,031807,0003300,000000000,000000515,000001700,0000000,0000000,01
ART 091216,000000,LOMO IB. BELLOTA         ,001,0001,110,011235,0006900,000000000,000000290,000002001,0000000,0000060,01
ART 091216,000000,CE. JAMON ATADO RESERVA L,001,0001,260,026107,0004600,000000000,000002575,000011941,0000000,0000060,01
ART 091216,000000,ACEITE V.E  PREMIUM LATA ,001,0001,460,041916,0000450,000000001,000000000,000000450,0000000,0000000,01
ART 091216,000000,JAMON IB. BELLOTA. YDETAL,001,0001,215,020001,0016900,000000000,000000395,000006676,0000000,0000060,01
ART 091216,000000,Z. CONO DE CROQUETAS DE P,001,0001,1020,099015,0000500,000000003,000000000,000001500,0000000,0000000,01
ART 091216,000000,JAMON COCIDO G. SELECCION,001,0001,220,020249,0001375,000000000,000000465,000000639,0000000,0000012,01
ART 091216,000000,PAN FEO CA?AS BOTE 135 GR,001,0001,420,040920,0000430,000000002,000000000,000000860,0000000,0000000,01
ART 091216,000000,TAPA JAMON IBERICO       ,001,0001,1020,090427,0000500,000000004,000000000,000002000,0000000,0000000,01
ART 091216,000000,FUET 1945 PIEZA MAS      ,001,0001,111,000249,0000390,000000001,000000000,000000390,0000000,0000060,01
ART 091216,000000,CERVEZA BARCELONA BEER   ,001,0001,820,080423,0000275,000000001,000000000,000000275,0000000,0000000,01
ART 091216,000000,Q. P. A?EJO PICON        ,001,0001,310,031427,0002920,000000000,000000150,000000438,0000000,0000000,01
ART 091216,000000,BUTIFARRA HUEVO PIEZA MAS,001,0001,121,000011,0000475,000000003,000000000,000001425,0000000,0000015,01
ART 091216,000000,JAMON IB. CEBO YDETALL   ,001,0001,215,020263,0008500,000000000,000000540,000004591,0000000,0000060,01
ART 091216,000000,SALCHICHON MAS MONTSENY  ,001,0001,110,010390,0002490,000000000,000002610,000006499,0000000,0000060,01
ART 091216,000000,SOBRASADA                ,001,0001,110,010011,0006500,000000000,000000250,000001625,0000000,0000060,01
ART 091216,000000,Q. AZUL CABRALES ORIGEN T,001,0001,310,000391,0002615,000000000,000000215,000000562,0000000,0000000,01
ART 091216,000000,Z. CONO DE BASTONETS     ,001,0001,1020,099006,0000500,000000007,000000000,000003300,0000000,0000000,01
ART 091216,000000,QUESO COSTA ROIA MINI    ,001,0001,310,032173,0001060,000000001,000000000,000001060,0000000,0000000,01
ART 091216,000000,QUESO TOU DEL TIL.LERS MI,001,0001,310,032172,0000990,000000001,000000000,000000990,0000000,0000000,01
ART 091216,000000,JUST FOR CHEESE MINI ALBA,001,0001,410,040428,0000190,000000003,000000000,000000570,0000000,0000000,01
ART 091216,000000,SOBRASADA                ,001,0001,110,010011,0006500,000000000,000000385,000002503,0000000,0000060,01
ART 091216,000000,CE. JAMON IB. CEBO FISAN ,001,0001,215,020073,0008500,000000000,000000240,000002040,0000000,0000060,01
ART 091216,000000,VASO CHIPS & HAM.-       ,001,0001,1010,090400,0000300,000000006,000000000,000001800,0000000,0000000,01
ART 091216,000000,TORTA DEL CASAR MINI TIAN,001,0001,310,032133,0001365,000000001,000000000,000001365,0000000,0000000,01
ART 091216,000000,CE. PALETA IB. CEBO EL CO,001,0001,260,020163,0006900,000000000,000000550,000003795,0000000,0000060,01
ART 091216,000000,Q. MONTAGNOLO 70%        ,001,0001,310,031882,0002200,000000000,000000125,000000275,0000000,0000000,01
ART 091216,000000,Q. AZUL CABRALES ORIGEN T,001,0001,310,000391,0002615,000000000,000000120,000000314,0000000,0000000,01
ART 091216,000000,Q. GARROTXA BAUMA CURADO.,001,0001,310,030519,0003815,000000000,000000085,000000324,0000000,0000000,01
ART 091216,000000,JAMON IB. BELLOTA D.O. YD,001,0001,215,020000,0018500,000000000,000000205,000003793,0000000,0000060,01
ART 091216,000000,BOTIFARRA CRUA DE PAGES P,001,0001,510,050007,0001290,000000000,000000255,000000329,0000000,0000000,01
ART 091216,000000,SOLOMILLO BANDEJA        ,001,0001,510,050349,0001190,000000000,000000405,000000482,0000000,0000005,01
ART 091216,000000,Q. RECLETTE SUIZA MARGOT ,001,0001,310,031889,0002195,000000000,000000515,000001130,0000000,0000000,01
ART 091216,000000,Q. FERMIO                ,001,0001,310,030861,0000365,000000001,000000000,000000365,0000000,0000000,01
ART 091216,000000,Q. PARMEGIANO REGGIANO 4 ,001,0001,310,003258,0002995,000000000,000000225,000000674,0000000,0000000,01
ART 091216,000000,Q. OVEJA CON ROMERO 3 KG ,001,0001,310,031800,0003400,000000000,000000465,000001581,0000000,0000000,01
ART 091216,000000,JUST FOR CHEESE MINI UVA ,001,0001,410,040430,0000190,000000001,000000000,000000190,0000000,0000000,01
ART 091216,000000,Z. CONO DE CROQUETAS DE P,001,0001,1020,099015,0000500,000000001,000000000,000000500,0000000,0000000,01
ART 091216,000000,CHORIZO IB. LONCHEADO 75 ,001,0001,140,010085,0000280,000000001,000000000,000000280,0000000,0000000,01
ART 091216,000000,CE. JAMON IB. CEBO FISAN ,001,0001,215,020073,0008500,000000000,000001200,000010201,0000000,0000060,01
ART 091216,000000,LOMO IB. CEBO LONCHEADO 7,001,0001,140,010087,0000495,000000002,000000000,000000990,0000000,0000000,01
ART 091216,000000,SALCHICHON IB. LONCHEADO ,001,0001,140,010086,0000280,000000002,000000000,000000560,0000000,0000000,01
ART 091216,000000,STIRATINI SESAMO 150 GR  ,001,0001,420,040609,0000180,000000001,000000000,000000180,0000000,0000000,01
ART 091216,000000,CERVEZA LA BELLA LOLA    ,001,0001,820,080496,0000310,000000001,000000000,000000310,0000000,0000000,01
ART 091216,000000,Q. EL PUT                ,001,0001,310,031962,0000605,000000001,000000000,000000605,0000000,0000000,01
ART 091216,000000,CHORIZO SARTA LEON DULCE ,001,0001,110,011554,0001865,000000000,000001355,000002527,0000000,0000060,01
ART 091216,000000,SOBRASADA                ,001,0001,110,011569,0001790,000000000,000000310,000000555,0000000,0000030,01
ART 091216,000000,CERVEZA BIRRA 08 CLOT    ,001,0001,820,080418,0000290,000000001,000000000,000000290,0000000,0000000,01
ART 091216,000000,Z. CONO DE QUESO PARMESAN,001,0001,1020,099009,0000300,000000003,000000000,000000900,0000000,0000000,01
