50099973040891000010300000W0001PECHUGA PAVO EXTRAT.     0000000000000000025500            00
50099918040182000010100000W0031CONTRAMUSLOS POLLO       0000000000000000025500            00
50099914040178000010100000W0031PECHUGA POLLO PUJANTE BDJ0000000000000000025500            00
50099899040170000010100000W0031PECHUGA EMPANADA         0000000000000000025500            00
50099626047027000011000773W0031TACON PALA TERNERA (1ªB) 0000000000000000025500            00
50099622047023000011000999W0031CARAMELO TERNERA (1ªB)   0000000000000000025500            00
50099621047011000011000696W0031ESPALDILLA TERNERA (1ªA) 0000000000000000025500            00
50099546047014000011000709W0031AGUJA DE TERNERA (1ªA)   0000000000000000025500            00
50099545047013000011000709W0031PEZ DE TERNERA (1ªB)     0000000000000000025500            00
50099544047012000011000690W0031MORCILLO TERNERA (2ªA)   0000000000000000025500            00
50099543047010000011001095W0031REDONDO TERNERA (1ªA)    0000000000000000025500            00
50099487040961000011200000W0031BABILLA BUEY             0000000000000000025500            00
50099246040164000012300000W0031POLLO RELLENO            0000000000000000025500            00
50099243040161000012300995W0031JAMONCITOS               0000000000000000025500            00
50099241040159000012300000W0031BERENJENAS               0000000000000000025500            00
50099239040157000012300000W0031PIMIENTOS RELLENOS       0000000000000000025500            00
50099238040156000012300000W0031SAN JACOBOS              0000000000000000025500            00
50099237040155000012300000W0031CROQUETAS                0000000000000000025500            00
50099236040154000012300995W0031TIGRES                   0000000000000000025500            00
50099235040153000012300795W0031ABANICOS                 0000000000000000025500            00
50099234040722000010800000W0031CODILLO EST.ALEMAN CAMPOC0000000000000000025500            00
50099048040378000010100828W0001SALCHICHA POLLO          0000000000000000025500            00
50098931040675000011600000U0001LOTE LONG+MORCILLA       0000000000000000025500            00
50098923041955000011000695W0001MORCILLO TERNERA         0000000000000000025500            00
50098920040672000010100950U0001PECHUGA LOMO             0000000000000000025500            00
50098887040391000010100000W0001PECHUGA POLLO CAMPERO    0000000000000000025500            00
50098886040390000010100000W0001TRASEROS POLLO CAMPERO   0000000000000000025500            00
50098885040389000010100000W0001ALAS POLLO CAMPERO       0000000000000000025500            00
50098876040028000010200448W0031YEMAS POLLO              0000000000000000025500            00
50098863040185000010100000W0031SALCHICHA AVE PUJANTE    0000000000000000025500            00
50098857041190000011000000W0001ALETA TERNERA RELLENA    0000000000000000025500            00
50098854041182000011000000U0001LOTE TERNERA+GUISO       0000000000000000025500            00
50098818080423000007500100U0001LOTE NAP.CHOCO X2        0000000000000000025500            00
50098777041139000010800595W0001SECRETO CERDO            0000000000000000025500            00
50098699040477000010800000U0001LOTE PECH+TRASEROS       0000000000000000025500            00
50098696040475000011500650W0001LOMO PAVO CARCHEL.       0000000000000000025500            00
50098644040373000011700625W0001LONGANIZA BLANCA FRESCA  0000000000000000025500            00
50098632040896000010100000W0001POLLO CAMPERO            0000000000000000025500            00
50098631040932000011000000W0031SOLOMILLO AÑOJO ENCIN    0000000000000000025500            00
50098630040931000011000000W0031LOMO AÑOJO VACIO         0000000000000000025500            00
50098629040930000011000000W0031CANAL AÑOJO C/H VACIO    0000000000000000025500            00
50098628040928000011300000W0031LOMO LECHAL ENCINAR      0000000000000000025500            00
50098627040927000011300000W0031PIERNA LECHAL ENCINAR    0000000000000000025500            00
50098626040926000011300000W0031PISTOLA LECHAL ENCINA    0000000000000000025500            00
50098625040925000011300000W0031TERNERA LECHAL ENCINA    0000000000000000025500            00
50098624040924000011000000W0031PIERNA CLARA ENCINAR     0000000000000000025500            00
50098623040923000011000000W0031LOMO CLARA S/R ENCINA    0000000000000000025500            00
50098622040922000011000000W0031LOMO CLARA ENCINAR       0000000000000000025500            00
50098621040921000011000000W0031PISTOLA CLARA ENCINAR    0000000000000000025500            00
50098620040929000011000000W0031TRASERO CLARA ENCINAR    0000000000000000025500            00
50098619040920000011000000W0031DELANTERO CLARA ENCIN    0000000000000000025500            00
50098618040919000011000000W0031TERNERA CLARA ENCINAR    0000000000000000025500            00
50098617040918000011000000W0031AÑOJO CLARA EL ENCINA    0000000000000000025500            00
50098616040917000011000695W0031MORCILLO DELANTERO       0000000000000000025500            00
50098615040916000011000000W0031AGUJA/ESPALDILLA CLAR    0000000000000000025500            00
50098613040914000011100000W0031PIERNA VACA ENCINAR      0000000000000000025500            00
50098612040913000011100000W0031PISTOLA VACA ENCINAR     0000000000000000025500            00
50098611040912000011100000W0031LOMO VACA S/R ENCINAR    0000000000000000025500            00
50098610025138000001600000W0071BONITO ESCABECHE         0000000000000000025500            00
50098609040867000010800000W0001CODILLO JAMON            0000000000000000025500            00
50098601040938000010800000W0001LOMO ADOBADO HORNO       0000000000000000025500            00
50098600041779000010800000W0001SECRETO IBERICO CERDO    0000000000000000025500            00
50098592040370000010800000W0031CERDO FINAS HIERBAS      0000000000000000025500            00
50098591040369000010800000W0031CERDO 3 PIMIENTAS        0000000000000000025500            00
50098590040368000010100000W0031POLLO AL KEBAB           0000000000000000025500            00
50098589040474000010800000W0001LOMO SUPERJUGOSO         0000000000000000025500            00
50098583040473000010800000U0001CHICHARRON CERDO         0000000000000000025500            00
50098575041027000011000000W0031CARRILLADA VACUNO EL POZO0000000000000000025500            00
50098574041026000011000000W0031ALETA VACUNO EL POZO     0000000000000000025500            00
