03/12/2025 13:53:53 - -----------------------------------------------------------
03/12/2025 13:56:00 - Tratando 206129.03C
03/12/2025 13:56:01 - Tratando 206131.03C
03/12/2025 13:56:02 - Tratando 206132.03C
03/12/2025 13:56:03 - Tratando 206135.03C
03/12/2025 13:56:04 - Tratando 206136.03C
03/12/2025 13:56:05 - Tratando 206137.03C
03/12/2025 13:56:06 - Tratando 206138.03C
03/12/2025 13:56:07 - Tratando 206139.03C
03/12/2025 13:56:08 - Tratando 206140.03C
03/12/2025 13:56:09 - Tratando 206141.03C
03/12/2025 13:56:10 - Tratando 206143.03C
03/12/2025 13:56:11 - Tratando 206144.03C
03/12/2025 13:56:12 - Tratando 206145.03C
03/12/2025 13:56:13 - Tratando 206146.03C
03/12/2025 13:56:15 - Tratando 206149.03C
03/12/2025 13:56:16 - Tratando 206150.03C
03/12/2025 13:56:17 - Tratando 206152.03C
03/12/2025 13:56:18 - Tratando 206154.03C
03/12/2025 13:56:19 - Tratando 206155.03C
03/12/2025 13:56:20 - Tratando 206158.03C
03/12/2025 13:56:21 - Tratando 206159.03C
03/12/2025 13:56:22 - Tratando 206161.03C
03/12/2025 13:56:23 - Tratando 206162.03C
03/12/2025 13:56:24 - Tratando 206166.03C
03/12/2025 13:56:25 - Tratando 206168.03C
03/12/2025 13:56:26 - Tratando 206169.03C
03/12/2025 13:56:27 - Tratando 206170.03C
03/12/2025 13:56:28 - Tratando 206171.03C
03/12/2025 13:56:29 - Tratando 206173.03C
03/12/2025 13:56:30 - Tratando 206175.03C
03/12/2025 13:56:31 - Tratando 206176.03C
03/12/2025 13:56:32 - Tratando 206177.03C
03/12/2025 13:56:33 - Tratando 206180.03C
03/12/2025 13:56:34 - Tratando 206181.03C
03/12/2025 13:56:35 - Tratando 206182.03C
03/12/2025 13:56:36 - Tratando 206183.03C
03/12/2025 13:56:37 - Tratando 206184.03C
03/12/2025 13:56:38 - Tratando 206187.03C
03/12/2025 13:56:39 - Tratando 206190.03C
03/12/2025 13:56:40 - Tratando 206191.03C
03/12/2025 13:56:41 - Tratando 206192.03C
03/12/2025 13:56:42 - Tratando 206194.03C
03/12/2025 13:56:44 - Tratando 206198.03C
03/12/2025 13:56:45 - Tratando 206898.03C
03/12/2025 13:56:46 - Tratando 206899.03C
03/12/2025 13:56:47 - Tratando 206900.03C
03/12/2025 13:56:48 - Tratando 206901.03C
03/12/2025 13:56:49 - Tratando 206902.03C
03/12/2025 13:56:50 - Tratando 206905.03C
03/12/2025 13:56:51 - Tratando 206907.03C
03/12/2025 13:56:52 - Tratando 206908.03C
03/12/2025 13:56:53 - Tratando 206909.03C
03/12/2025 13:56:54 - Tratando 206910.03C
03/12/2025 13:56:55 - Tratando 206913.03C
03/12/2025 13:56:56 - Tratando 206916.03C
03/12/2025 13:56:57 - Tratando 206917.03C
03/12/2025 13:56:58 - Tratando 206918.03C
03/12/2025 13:56:59 - Tratando 206919.03C
03/12/2025 13:57:00 - Tratando 206921.03C
03/12/2025 13:57:01 - Tratando 206922.03C
03/12/2025 13:57:02 - Tratando 206924.03C
03/12/2025 13:57:03 - Tratando 206925.03C
03/12/2025 13:57:04 - Tratando 206926.03C
03/12/2025 13:57:05 - Tratando 206927.03C
03/12/2025 13:57:06 - Tratando tqgen01B
03/12/2025 13:57:06 - moviendo tqgen01B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen01C
03/12/2025 13:57:06 - moviendo tqgen01C a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen02C
03/12/2025 13:57:06 - moviendo tqgen02C a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen03B
03/12/2025 13:57:06 - moviendo tqgen03B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen03C
03/12/2025 13:57:06 - Tratando tqgen04B
03/12/2025 13:57:06 - moviendo tqgen04B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen05B
03/12/2025 13:57:06 - moviendo tqgen05B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen06B
03/12/2025 13:57:06 - moviendo tqgen06B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen07B
03/12/2025 13:57:06 - moviendo tqgen07B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:06 - Tratando tqgen08B
03/12/2025 13:57:06 - moviendo tqgen08B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen10B
03/12/2025 13:57:07 - moviendo tqgen10B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen11B
03/12/2025 13:57:07 - moviendo tqgen11B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen12B
03/12/2025 13:57:07 - moviendo tqgen12B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen13B
03/12/2025 13:57:07 - moviendo tqgen13B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen14B
03/12/2025 13:57:07 - moviendo tqgen14B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen15B
03/12/2025 13:57:07 - moviendo tqgen15B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen17B
03/12/2025 13:57:07 - moviendo tqgen17B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen18B
03/12/2025 13:57:07 - moviendo tqgen18B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen19B
03/12/2025 13:57:07 - moviendo tqgen19B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen20B
03/12/2025 13:57:07 - moviendo tqgen20B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen21B
03/12/2025 13:57:07 - moviendo tqgen21B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen22B
03/12/2025 13:57:07 - moviendo tqgen22B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen24B
03/12/2025 13:57:07 - moviendo tqgen24B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen25B
03/12/2025 13:57:07 - moviendo tqgen25B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen26B
03/12/2025 13:57:07 - moviendo tqgen26B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen27B
03/12/2025 13:57:07 - moviendo tqgen27B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen28A
03/12/2025 13:57:07 - moviendo tqgen28A a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen28B
03/12/2025 13:57:07 - moviendo tqgen28B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen29A
03/12/2025 13:57:07 - moviendo tqgen29A a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen29B
03/12/2025 13:57:07 - moviendo tqgen29B a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen30A
03/12/2025 13:57:07 - moviendo tqgen30A a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:07 - Tratando tqgen31A
03/12/2025 13:57:07 - moviendo tqgen31A a C:\greenvb\BalanzaTickets\tqgen
03/12/2025 13:57:14 - -----------------------------------------------------------
03/12/2025 13:57:14 - Conectando Oracle
03/12/2025 13:57:14 - Comprobando C:\greenvb
03/12/2025 13:57:14 - Conectando a XE
03/12/2025 13:57:15 - Encontrados 4 ficheros.
03/12/2025 13:57:15 - Tratando 205554.03C
03/12/2025 13:57:16 - Tratando 206199.03C
03/12/2025 13:57:17 - Tratando 206200.03C
03/12/2025 13:57:18 - Tratando tqgen03C
03/12/2025 13:58:14 - -----------------------------------------------------------
03/12/2025 13:58:14 - Conectando Oracle
03/12/2025 13:58:14 - Comprobando C:\greenvb
03/12/2025 13:58:14 - Conectando a XE
03/12/2025 13:58:15 - Encontrados 1 ficheros.
03/12/2025 13:58:15 - Tratando tqgen03C
03/12/2025 13:59:14 - -----------------------------------------------------------
03/12/2025 13:59:14 - Conectando Oracle
03/12/2025 13:59:14 - Comprobando C:\greenvb
03/12/2025 13:59:14 - Conectando a XE
03/12/2025 13:59:15 - Encontrados 1 ficheros.
03/12/2025 13:59:15 - Tratando tqgen03C
03/12/2025 14:00:14 - -----------------------------------------------------------
03/12/2025 14:00:14 - Conectando Oracle
03/12/2025 14:00:14 - Comprobando C:\greenvb
03/12/2025 14:00:14 - Conectando a XE
03/12/2025 14:00:15 - Encontrados 3 ficheros.
03/12/2025 14:00:15 - Tratando 205555.03C
03/12/2025 14:00:16 - Tratando 206928.03C
03/12/2025 14:00:17 - Tratando tqgen03C
03/12/2025 14:01:14 - -----------------------------------------------------------
03/12/2025 14:01:14 - Conectando Oracle
03/12/2025 14:01:14 - Comprobando C:\greenvb
03/12/2025 14:01:14 - Conectando a XE
03/12/2025 14:01:15 - Encontrados 1 ficheros.
03/12/2025 14:01:15 - Tratando tqgen03C
03/12/2025 14:02:14 - -----------------------------------------------------------
03/12/2025 14:02:14 - Conectando Oracle
03/12/2025 14:02:14 - Comprobando C:\greenvb
03/12/2025 14:02:14 - Conectando a XE
03/12/2025 14:02:15 - Encontrados 1 ficheros.
03/12/2025 14:02:15 - Tratando tqgen03C
03/12/2025 14:03:14 - -----------------------------------------------------------
03/12/2025 14:03:14 - Conectando Oracle
03/12/2025 14:03:14 - Comprobando C:\greenvb
03/12/2025 14:03:14 - Conectando a XE
03/12/2025 14:03:15 - Encontrados 2 ficheros.
03/12/2025 14:03:15 - Tratando 205556.03C
