LOG 190606,0,1916,0,000074,000,001,0000700,TOMATE MONTSERRAT,01
LOG 190606,0,1916,0,000413,000,001,0000280,CIRUELA NEGRA,01
LOG 190606,0,1917,0,000471,000,001,0000350,PERA CASTELLS,01
LOG 190606,0,1918,0,000463,000,001,0000195,NECTARINA BLANCA,01
LOG 190606,0,1920,0,000458,000,001,0000255,MELON BRUÑO,01
LOG 190606,0,1922,0,000491,000,001,0000110,SANDIA BRUÑO,01
LOG 190606,0,1922,0,002491,000,001,0000080,SANDIA,01
LOG 190606,0,1928,0,000046,000,001,0000395,JUDIA PERONA,01
LOG 190606,0,1934,0,000488,000,001,0000180,PLATANO MACHO,01
LOG 190606,0,1935,0,000104,000,001,0000140,RADICCIO,01
LOG 190606,0,1936,0,000024,000,001,0000080,CEBOLLA SECA,01
LOG 190606,0,1936,0,000082,000,001,0000120,ZANAHORIA MANOJO,01
LOG 190606,0,1936,0,000082,000,001,0000130,ZANAHORIA MANOJO,01
LOG 190606,0,1939,0,000032,000,001,0000250,COL I FLOR,01
LOG 190606,0,1940,0,000033,000,001,0000320,ENDIVIA GRANEL,01
LOG 190606,0,1941,0,000048,000,001,0000160,LECHUGA ICEBERG,01
LOG 190606,0,1942,0,000070,000,001,0000220,TOMATE DANIELA,01
LOG 190606,0,1944,0,000059,000,001,0000140,PATATA PARMETINE,01
LOG 190606,0,1944,0,000067,000,001,0000220,PUERROS,01
LOG 190606,0,1947,0,000476,000,001,0000285,PERA CONFERENCE IMPOR.,01
LOG 190606,0,1948,0,000079,000,001,0000170,TOMATE RAMA,01
LOG 190606,0,2003,0,000072,000,001,0000165,TOMATE VERDE,01
LOG 190606,0,2016,0,000438,000,001,0000250,MANZANA GALA,01
LOG 190606,0,2018,0,000062,000,001,0000099,PEPINO EXTRA,01
LOG 190606,0,2027,0,000006,000,001,0000250,ALCACHOFA,01
LOG 190606,0,2028,0,000409,000,001,0000395,CEREZAS,01
LOG 190606,0,2030,0,001454,000,001,0000135,MELOCOTON ROJO,01
LOG 190606,0,2034,0,000449,000,001,0000335,MELOCOTON AMARILLO,01
LOG 190606,0,2035,0,000066,000,001,0000165,PIMIENTO ROJO EXTRA,01
LOG 190606,0,2036,0,000065,000,001,0000210,PIMIENTO VERDE ITALIANO3,01
LOG 190606,0,2037,0,001079,000,001,0000125,TOMATE RAMA 1ª,01
LOG 190606,0,2040,0,002491,000,001,0000095,SANDIA POLEN,01
LOG 200606,0,0928,0,000046,000,001,0000490,JUDIA PERONA,01
LOG 200606,0,0929,0,000438,000,001,0000240,MANZANA GALA,01
LOG 200606,0,0929,0,000449,000,001,0000295,MELOCOTON AMARILLO,01
LOG 200606,0,0952,0,000476,000,001,0000290,PERA CONFERENCE,01
LOG 200606,0,0953,0,000471,000,001,0000325,PERA CASTELLS,01
LOG 200606,0,0953,0,000065,000,001,0000220,PIMIENTO VERDE,01
LOG 200606,0,0958,0,000463,000,001,0000265,NECTARINA BLANCA,01
LOG 200606,0,1000,0,001079,000,001,0000130,TOMATE RAMA 1ª,01
LOG 200606,0,1000,0,001075,000,001,0000395,TOMATE CHERRY,01
LOG 200606,0,1013,0,002491,000,001,0000099,SANDIA POLEN,01
LOG 200606,0,1052,0,000068,000,001,0000080,RABANOS BOLSA,01
LOG 200606,0,1053,0,001068,000,001,0000050,RABANOS,01
LOG 200606,0,1127,0,000002,000,001,0000000,AGUACATE KG.,01
