50000001010001000000102000W0000PTTTTTTTTTTTTTTTTTTT     0000000000000000025500            00
50004002010002000000400100W0000AGUACATE OFERTA          0000000000000000025500            00
50004003010003000000400100U0000AGUACATE PIEZA           0000000000000000025500            00
50004021010004000000400059W0000BANANA 1                 0000000000000000025500            00
50004040010005000000400100U0000CARAMBOLA                0000000000000000025500            00
50004050010006000000400298W0000CHIRIMOYA                0000000000000000025500            00
50004052010007000000400100W0000CHIRIMOYA OFERTA         0000000000000000025500            00
50004053010008000000400100U0000CHIRIMOYA PIEZA          0000000000000000025500            00
50004060010009000000400098U0000COCOS                    0000000000000000025500            00
50004100010010000000400149W0000FEIJOAS                  0000000000000000025500            00
50004150010011000000400795W0000GUAYABA                  0000000000000000025500            00
50004200010012000000400275W0000KIWI EXTRA               0000000000000000025500            00
50004201010013000000400225W0000KIWI 1                   0000000000000000025500            00
50004202010014000000400098W0000KIWI OFERTA              0000000000000000025500            00
50004203010015000000400100U0000KIWI TARRINA             0000000000000000025500            00
50004204010016000000400098W0000KIWI                     0000000000000000025500            00
50004205010017000000400098W0000KIWI PAIS 1              0000000000000000025500            00
50004207010018000000400049W0000KIWI PAIS OFERTA         0000000000000000025500            00
50004208010019000000400298W0000KIWI GOLD                0000000000000000025500            00
50004210010020000000400100W0000KIWANO                   0000000000000000025500            00
50004220010021000000400100W0000KUNQUAT                  0000000000000000025500            00
50004250010022000000400100W0000LITCHIS                  0000000000000000025500            00
50004280010023000000400298W0000MANGO EXTRA              0000000000000000025500            00
50004282010024000000400069W0000MANGO OFERTA             0000000000000000025500            00
50004283010025000000400100U0000MANGO PIEZA              0000000000000000025500            00
50004290010026000000400100W0000MARACUYA                 0000000000000000025500            00
50004320010027000000400349W0000PAPAYA EXTRA             0000000000000000025500            00
50004322010028000000400100W0000PAPAYA OFERTA            0000000000000000025500            00
50004323010029000000400100U0000PAPAYA PIEZA             0000000000000000025500            00
50004330010030000000400149U0000PHYSALIS                 0000000000000000025500            00
50004350010031000000400175W0000PI A EXTRA               0000000000000000025500            00
