29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:12		Copiado:	350824.png
29/09/2025 10:34:12		Copiado:	350825.png
29/09/2025 10:34:12		Copiado:	350827.png
29/09/2025 10:34:12		Copiado:	350828.png
29/09/2025 10:34:12		Copiado:	350829.png
29/09/2025 10:34:12		Copiado:	350833.png
29/09/2025 10:34:12		Copiado:	350835.png
29/09/2025 10:34:12		Copiado:	350836.png
29/09/2025 10:34:12		Copiado:	350837.png
29/09/2025 10:34:12		Copiado:	350838.png
29/09/2025 10:34:12		Copiado:	350839.png
29/09/2025 10:34:12		Copiado:	350840.png
29/09/2025 10:34:12		Copiado:	350845.png
29/09/2025 10:34:12		Copiado:	350846.png
29/09/2025 10:34:12		Copiado:	350848.png
29/09/2025 10:34:12		Copiado:	350850.png
29/09/2025 10:34:12		Copiado:	350851.png
29/09/2025 10:34:12		Copiado:	350853.png
29/09/2025 10:34:12		Copiado:	350956.png
29/09/2025 10:34:12		Copiado:	350957.png
29/09/2025 10:34:12		Copiado:	350958.png
29/09/2025 10:34:12		Copiado:	350959.png
29/09/2025 10:34:12		Copiado:	350960.png
29/09/2025 10:34:13		Copiado:	350961.png
29/09/2025 10:34:13		Copiado:	350962.png
29/09/2025 10:34:13		Copiado:	350963.png
29/09/2025 10:34:13		Copiado:	350964.png
29/09/2025 10:34:13		Copiado:	350966.png
29/09/2025 10:34:13		Copiado:	350973.png
29/09/2025 10:34:13		Copiado:	350975.png
29/09/2025 10:34:13		Copiado:	350976.png
29/09/2025 10:34:13		Copiado:	351200.png
29/09/2025 10:34:13		Copiado:	351201.png
29/09/2025 10:34:13		Copiado:	351202.png
29/09/2025 10:34:13		Copiado:	355619.png
29/09/2025 10:34:13		Copiado:	355640.png
29/09/2025 10:34:13		Copiado:	355641.png
29/09/2025 10:34:13		Copiado:	355645.png
29/09/2025 10:34:13		Copiado:	355646.png
29/09/2025 10:34:13		Copiado:	377500.png
29/09/2025 10:34:13		Copiado:	377501.png
29/09/2025 10:34:13		Copiado:	377527.png
29/09/2025 10:34:13		Copiado:	377528.png
29/09/2025 10:34:13		Copiado:	377532.png
29/09/2025 10:34:13		Copiado:	377538.png
29/09/2025 10:34:13		Copiado:	393730.png
