L00      00101011010000000000000600000399000023940000001jgfs                     10/02/2010:020000001
L00      00201011010000000000001000000399000039900000001jgfs                     10/02/2010:020000001
L00      00101011010000257000000000000399000001030000001jgfs                     10/02/2010:030000003
L00      00201011010000257000000000000399000001030000001jgfs                     10/02/2010:030000003
L00      00301011010000257000000000000399000001030000001jgfs                     10/02/2010:030000003
L00      00401011010000257000000000000399000001030000001jgfs                     10/02/2010:030000003
L00      00101011010000000000000900000350000031500000000                         13/02/2015:250000006
L00      00201011010000336000000000000399000001340000001jgfs                     13/02/2015:250000006
L00      00101011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00201011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00301011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00401011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00501011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00601011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00701011010000336000000000000399000001340000001jgfs                     13/02/2015:260000007
L00      00101011010000336000000000000399000001340000001jgfs                     13/02/2015:260000008
L00      00101011010000336000000000000399000001340000001jgfs                     13/02/2015:260000009
L00      00201011010000336000000000000399000001340000001jgfs                     13/02/2015:260000009
L00      00301011010000336000000000000399000001340000001jgfs                     13/02/2015:260000009
L00      00401011010000336000000000000399000001340000001jgfs                     13/02/2015:260000009
L00      00101011010000336000000000000399000001340000001jgfs                     14/02/2011:500000011
L00      00101011010000336000000000000399000001340000001jgfs                     14/02/2011:500000012
L00      00101011010000000000000100000001000000010000000                         14/02/2011:500000013
L00      00101011010000000000000900000399000035910000001jgfs                     18/02/2009:350000015
L00      00201011010000000000000500000399000019950000001jgfs                     18/02/2009:350000015
L00      00101011010000000000000900000399000035910000001jgfs                     18/02/2009:350000016
L00      00201011010000000000000200000399000007980000001jgfs                     18/02/2009:350000016
L00      00301011010000000000000300000399000011970000001jgfs                     18/02/2009:350000016
L00      00101011010000000000000100000055000000550000000                         19/02/2010:400000001
L00      00101011010000000000000600000999000059940000001                         19/02/2012:430000003
L00      00101011010000000000000500000999000049950000001MANZANA                  19/02/2015:040000005
