F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
50800437020305000001001319W0000SALS.POLLASTRE MIXTA     0000020000000000000000000000000
50801210020306000001001135W0000Salsitxes safata         0000020000000000000000000000000
50800442020307000001000635W0000ALES DE POLLASTRE AT     0000020000000000000000000000000
50800446020308000001000625W0000CUIXES DE POLLASTRE      0000020000000000000000000000000
50801225020309000001001135W0000Xoriço pintxos safat     0000020000000000000000000000000
50801229020310000001001829W0000Brochette barbacoa s     0000020000000000000000000000000
50801234020311000001001415W0000Porc llom llibrets s     0000020000000000000000000000000
50801251020312000001000535W0000Porc ossos salats sa     0000020000000000000000000000000
50801252020313000001000555W0000PORC OSSOS PERNIL SA     0000020000000000000000000000000
50801272020314000001000495W0000ALA POLLASTRE ATM (1     0000020000000000000000000000000
51801284020315000001000495W0000ALA POLLASTRE BLANC      0000020000000000000000000000000
51062644020317000001000488W0000ALES POLLASTRE SAFAT     0000020000000000000000000000000
51062640020318000001000448W0000ALES POLLASTRE 10 kg     0000020000000000000000000000000
50802277020320000001000439W0000BLANQUETA INDIOT ATM     0000020000000000000000000000000
51062672020321000001000485W0000BLANQUETA INDIOT SAF     0000020000000000000000000000000
51062526020323000001001096W0000CONILL ATM.MODIFICAD     0000020000000000000000000000000
50800430020324000001001269W0000CONILL FLOW PACK (10     0000020000000000000000000000000
51062519020326000001000496W0000CUIXES POLLASTRE 10k     0000020000000000000000000000000
51062641020327000001000496W0000CUIXES POLLASTRE 10k     0000020000000000000000000000000
51064037020329000001000310W0000GALLINA PESADA           0000020000000000000000000000000
50802281020330000001000189U0000GUATLLES                 0000020000000000000000000000000
50801273020331000001000545W0000PERNILET POLLASTRE A     0000020000000000000000000000000
51801285020332000001000545W0000PERNILET POLLASTRE B     0000020000000000000000000000000
51062534020333000001000632W0000PERNILETS POLLASTRE      0000020000000000000000000000000
51062529020335000001001096W0000PIT INDIOT BUIT 2 kg     0000020000000000000000000000000
50801783020336000001000879W0000PIT POLLASTRE ATM 1      0000020000000000000000000000000
51062642020337000001001105W0000PIT POLLASTRE SAFATA     0000020000000000000000000000000
51062522020338000001001104W0000PIT POLLASTRE SAFATA     0000020000000000000000000000000
51062625020340000001000744W0000POLLASTRE CORRAL EST     0000020000000000000000000000000
51062121020341000001000299W0000POLLASTRE GROC TRADI     0000020000000000000000000000000
51062515020342000001000469W0000POLLASTRE NET ET MQ      0000020000000000000000000000000
51062516020344000001000435W0000POLLASTRE SENCER GRO     0000020000000000000000000000000
51062653020346000001000536W0000QUARTS GALLINA SAFAT     0000020000000000000000000000000
50801782020347000001000455W0000QUARTS POSTERIORS PO     0000020000000000000000000000000
50801293020348000001001282W0000SALSITXA POLLASTRE       0000020000000000000000000000000
51062539020349000001000481U0000SALSITXA POLLASTRE C     0000020000000000000000000000000
51064028020350000001000758W0000SALSITXES POLLASTRE      0000020000000000000000000000000
51064000020351000001000339W00002135/021 POLLASTRE S     0000020000000000000000000000000
51064005020352000001000461W00002145/001 ALES POLLAS     0000020000000000000000000000000
51064011020353000001000795W00002150/001 PIT POLLAST     0000020000000000000000000000000
51064007020354000001000464W00002162/001 CUIXES POLL     0000020000000000000000000000000
50064041020355000001000285W00002301/127 TARRINA HIG     0000020000000000000000000000000
51064032020356000001000835W00004452/002 PIT GALL DI     0000020000000000000000000000000
51064030020357000001000903W00004700/001 CONILL SENC     0000020000000000000000000000000
T0435801Ingredientes: Carne y grasa de cerdo, sal, [LACTOSA], proteínas de la [LECHE], [LECHE] desnatada en polvo, vino ([SULFITOS]), especias, antioxidante (E-301), dextrosa, conservadores (E-250, E-252) y colorante (cochinilla). Elaborado con tripa comestible. [ALÉRGENOS]: [LECHE] y [SULFITOS].^Valor nutricional por 100g de producto: Valor energético: (kj) 1711, (kcal) 412, Grasas (g) 31 de los cuales: Saturadas (g) 9, Hidratos de carbono (g) 2.2 de los cuales: Azúcares (g) 2.2, Proteínas (g) 31 y  Sal (g) 3.5^
T0439561Ingredientes: Jamón de cerdo deshuesado (90%), Agua, Sal, Dextrosa, Aromas, Antioxidantes (E316, E-331iii), Conservador (E-250).^Valor nutricional por 100g de producto: Valor energético: (kj) 1329, (kcal) 318, Grasas (g) 20 de los cuales: Saturadas (g) 11, Hidratos de carbono (g) 6.5 de los cuales: Azúcares (g) 0.8, Proteínas (g) 11 y  Sal (g) 2.3
T0443851Ingredientes: Magro, papada i grasa de cerdo, agua, sal, fécula de patata, estabilizantes (E-450, E-452), gelificante (E-407), dextrosa, aromas, especias, potenciador del sabor (E-621), antioxidante (E-301), conservador (E-250), colorante (E-120). ^Valor nutricional por 100g de producto: Valor energético: (kj) 988, (kcal) 236, Grasas (g) 19.55 de los cuales: Saturadas (g) 7.22, Hidratos de carbono (g) 1.85 de los cuales: Azúcares (g) 0.65, Proteínas (g) 13.75 y  Sal (g) 1.02^
@1001001800459001
@1001002800092001
@1001003800080001
@1001004800142001
@1001005800094001
@1001006800097001
@1001007800096001
@1001008800095001
@1001009800085001
@1001011800102001
@1001012800103001
@1001013800106001
@1001014800592001
@1001015800183001
@1001016801418001
@1001017800277001
@1001018800261001
@1001019800120001
@1001020800121001
@1001021800013001
@1001022800123001
@1001023800598001
@1001024800129001
@1001026800270001
@1001028800162001
@1001029800243001
@1001030800246001
@1001032800174001
@1001033800175001
@1001034800181001
@1001035800275001
@1001036800192001
@1001038800196001
@1001039800216001
@1001040800218001
@1001041800236001
@1001042800232001
@1001043800231001
@1001044800281001
@1001045800227001
@1001046800234001
@1001047800235001
@1001048800237001
@1001049800224001
@1001050800109001
@1001051800241001
@1001053800091001
@1001077800093001
@1001083801305001
@1001155800195001
@1001025800012002
@1001027800137002
@1001052800267002
@1001054800269002
@1001055800221002
@1001056800115002
@1001057800154002
@1001058800164002
@1001059800170002
@1001060800152002
@1001063800083002
@1001064800074002
@1001065800090002
@1001066800151002
@1001068800260002
@1001069800138002
@1001070800141002
@1001071800005002
@1001072800257002
@1001074800229002
@1001075800004002
@1001076801332002
@1001078800597002
@1001079800264002
@1001080800156002
@1001081801301002
@1001082800113002
@1001085800165002
@1001086801300002
@1001087800184002
@1001088800011002
@1001089800185002
@1001090800003002
@1001091804590002
@1001094800198002
@1001095800199002
@1001096802794002
@1001097800202002
@1001099800144002
@1001100800145002
@1001101800009002
@1001102800146002
@1001103800147002
@1001104800149002
@1001105800148002
@1001106800007002
@1001113800116002
@1001114800239002
@1001115800240002
@1001118800001002
@1001119800002002
@1001120800000002
@1001152800008002
@1001153800143002
@1001010800661006
@1001061803646006
@1001062803647006
@1001084804574006
@1001132800681006
@1001137800680006
@1001067219958011
@1001092228260011
@1002001959903003
@1002002959904003
@1002005042537003
@1002007042238003
@1002009042313003
@1002010042301003
@1002011042300003
@1002012042209003
@1002013042527003
@1002015042272003
@1002016042235003
@1002017042268003
@1002018042267003
@1002019042269003
@1002022042548003
@1002023042451003
@1002025042204003
@1002026042314003
@1002031310909003
@1002036310416003
@1002039305502003
@1002266142408003
@1002008044555004
@1002042300770004
@1002043300773004
@1002044300642004
@1002046300781004
@1002048226222004
@1002049226437004
@1002050226438004
@1002053044371004
@1002054044372004
@1002055044386004
@1002056063056004
@1002057044385004
@1002061226223004
@1002062044387004
@1002063044389004
@1002064063057004
@1002066063348004
@1002070044110004
@1002071044101004
@1002072044182004
@1002074226389004
@1002075226539004
@1002076959905004
@1002077959906004
@1002078226224004
@1002079301046004
@1002080226415004
@1002082377526004
@1002083143754004
@1002084143972004
@1002088226418004
@1002091044502004
@1002093043580004
@1002094043833004
@1002095042002004
@1002096044047004
@1002100226420004
@1002101226409004
@1002102377529004
@1002103143752004
@1002104143791004
@1002105043956004
@1002108568273004
@1002111226405004
@1002112063353004
@1002113063354004
@1002114377527004
@1002116226270004
@1002117044201004
@1002118226403004
@1002125144117004
@1002126305508004
@1002127377518004
@1002129305533004
@1002130305510004
@1002131228565004
@1002132144099004
@1002134228560004
@1002135228562004
@1002136226610004
@1002137226531004
@1002141226535004
@1002142226538004
@1002145226536004
@1002146226427004
@1002147228522004
@1002150226429004
@1002155063346004
@1002156063347004
@1002158063398004
@1002159063397004
@1002161226428004
@1002213143647004
@1002263377532004
@1002264301044004
@1002268305603004
@1002269305604004
@1002270143357004
@1002271143479004
@1002273143282004
@1002285300777004
@1002041063116005
@1002068063246005
@1002167063124005
@1002172959907005
@1002173959908005
@1002174063338005
@1002175063362005
@1002179063396005
@1002180063584005
@1002181063107005
@1002182063114005
@1002183063127005
@1002184063128005
@1002185063138005
@1002186063142005
@1002187063156005
@1002188063166005
@1002189063179005
@1002190063185005
@1002191063189005
@1002192063194005
@1002193063198005
@1002194063209005
@1002195063215005
@1002196063220005
@1002197063229005
@1002198063232005
@1002199063235005
@1002200063239005
@1002201063241005
@1002202063244005
@1002204063253005
@1002205063286005
@1002206063341005
@1002207063334005
@1002208063335005
@1002209063340005
@1002210063342005
@1002211063349005
@1002212063365005
@1002214062271005
@1002267063227005
@1002272063190005
@1002123403680007
@1002171801219007
@1002215403605007
@1002216403614007
@1002217403601007
@1002218403600007
@1002219403604007
@1002220959915007
@1002221959916007
@1002222403617007
@1002223403619007
@1002224403606007
@1002225403602007
@1002226403615007
@1002227403611007
@1002228403610007
@1002229403613007
@1002230403608007
@1002231403612007
@1002232403618007
@1002233403607007
@1002234403609007
@1002235403603007
@1002236403620007
@1002262403681007
@1002239063137008
@1002246801125008
@1002260801107009
@1002289801105009
@1002293801198009
@1002297801141009
@1002299801138009
@1002301062278009
@1002302062285009
@1002303062281009
@1002003801231010
@1002004801227010
@1002006801237010
@1002014801216010
@1002020801253010
@1002021800450010
@1002024801195010
@1002027801240010
@1002028801187010
@1002029801246010
@1002030800428010
@1002032801242010
@1002033801186010
@1002034801181010
@1002035801245010
@1002037801213010
@1002038800436010
@1002166801787010
@1002168801786010
@1002274801232010
@1002275801209010
@1002276801238010
@1002277801235010
@1002278801217010
@1002279801214010
@1002280800429010
@1002281800435010
@1002282800444010
@1002283800443010
@1002284800454010
@1002286801224010
@1002287800451010
@1002288800445010
@1002304801215010
@1002305800437010
@1002306801210010
@1002307800442010
@1002308800446010
@1002309801225010
@1002310801229010
@1002311801234010
@1002312801251010
@1002313801252010
@1002314801272010
@1002315801284010
@1002317062644010
@1002318062640010
@1002320802277010
@1002321062672010
@1002323062526010
@1002324800430010
@1002326062519010
@1002327062641010
@1002329064037010
@1002330802281010
@1002331801273010
@1002332801285010
@1002333062534010
@1002335062529010
@1002336801783010
@1002337062642010
@1002338062522010
@1002340062625010
@1002341062121010
@1002342062515010
@1002344062516010
@1002346062653010
@1002347801782010
@1002348801293010
@1002349062539010
@1002350064028010
@1002351064000010
@1002352064005010
@1002353064011010
@1002354064007010
@1002355064041010
@1002356064032010
@1002357064030010
U801242801242.png
U801224801224.png
U800451800451.png
U800445800445.png
U801215801215.png
U800437800437.png
U801210801210.png
U800442800442.png
U800446800446.png
U801225801225.png
U801229801229.png
U801234801234.png
U801251801251.png
U801252801252.png
U800428800428.png
U801231801231.png
U801227801227.png
U800137800137.png
U042537042537.png
U801181801181.png
U800093800093.png
U801237801237.png
U044555044555.png
U800003800003.png
U801216801216.png
U801253801253.png
U800450800450.png
U801195801195.png
U801240801240.png
U801187801187.png
U801246801246.png
U801186801186.png
U801219801219.png
U403680403680.png
U403681403681.png
U301044301044.png
U801787801787.png
U063124063124.png
U801786801786.png
U800012800012.png
U143282143282.png
U801232801232.png
U800115800115.png
U063227063227.png
U305603305603.png
U305604305604.png
U063246063246.png
U143357143357.png
U143479143479.png
U377518377518.png
U063190063190.png
U801209801209.png
U801238801238.png
U801235801235.png
U801217801217.png
U801214801214.png
U800429800429.png
U800435800435.png
U800444800444.png
U800443800443.png
U800454800454.png
U300777300777.png
U801105801105.png
U801138801138.png
U801198801198.png
U801141801141.png
U801107801107.png
U802794802794.png
U226403226403.png
U226405226405.png
U226270226270.png
U377527377527.png
U377529377529.png
U063397063397.png
U063398063398.png
U226428226428.png
U310909310909.png
U143754143754.png
U143752143752.png
U143647143647.png
U300770300770.png
U063116063116.png
U300781300781.png
U301046301046.png
U043833043833.png
U800008800008.png
U800144800144.png
U800148800148.png
U800116800116.png
U800000800000.png
U800681800681.png
U800680800680.png
U063396063396.png
U800430800430.png
U143791143791.png
U063056063056.png
U063057063057.png
U144117144117.png
U801272801272.png
U801783801783.png
U801782801782.png
U802277802277.png
U377526377526.png
U801125801125.png
U801293801293.png
U802281802281.png
U801273801273.png
U801245801245.png
U801213801213.png
U800436800436.png
U801301801301.png
U801305801305.png
U804574804574.png
U959915959915.png
U959916959916.png
U063365063365.png
U063127063127.png
U063194063194.png
U042314042314.png
U305533305533.png
U063584063584.png
U063235063235.png
U063244063244.png
U042209042209.png
U310416310416.png
U063229063229.png
U063348063348.png
U305508305508.png
U063209063209.png
U063338063338.png
U403600403600.png
U403601403601.png
U403602403602.png
U403603403603.png
U403605403605.png
U403604403604.png
U403606403606.png
U403607403607.png
U403608403608.png
U403609403609.png
U403612403612.png
U403613403613.png
U403614403614.png
U403615403615.png
U403617403617.png
U403618403618.png
U403619403619.png
U063362063362.png
U403620403620.png
U800145800145.png
U800183800183.png
U800096800096.png
U800095800095.png
U800102800102.png
U800103800103.png
U800592800592.png
U800175800175.png
U800192800192.png
U800196800196.png
U800236800236.png
U800231800231.png
U800281800281.png
U800011800011.png
U800165800165.png
U800005800005.png
U143972143972.png
U044502044502.png
U043580043580.png
U044047044047.png
U043956043956.png
U568273568273.png
U063353063353.png
U044201044201.png
U305502305502.png
U063107063107.png
U063114063114.png
U063138063138.png
U063142063142.png
U063156063156.png
U063179063179.png
U063185063185.png
U063198063198.png
U063215063215.png
U063220063220.png
U063239063239.png
U063241063241.png
U064041064041.png
U063335063335.png
U042238042238.png
U042300042300.png
U042235042235.png
U042269042269.png
U042204042204.png
U044371044371.png
U044182044182.png
U063354063354.png
U063128063128.png
U063166063166.png
U063189063189.png
U063232063232.png
U063334063334.png
U042313042313.png
U042301042301.png
U042527042527.png
U042272042272.png
U042268042268.png
U042267042267.png
U042548042548.png
U042451042451.png
U044372044372.png
U044385044385.png
U044110044110.png
U044101044101.png
