     1   1010010002PALETA                   0000642U02            012
   111 111010010004CHORIZO IBERICO CULA     0001080W02            030
  11101110010010005HUEVO HILADO 100 G       0000565U02841151811101000
  11111111010010026LECHE PULEVA OMEGA-3     0000117U02841170001111000
  11121112010010005MERM.CIRUELA BEB.340     0000145U02843602616002000
  11171117010010005RELLENA.ESPAÑOLA 200     0000070U02841022601111000
  11181118010010027TONICA SCHWEPPES 32      0000047U02000008414111000
   112 112010010004CHORIZO PAMPLONA         0000846W02            030
  11201120010010005VINAGRE D.U.BLANCO 1     0000048U02841121120020000
  11221122010010019PISTON PERLA 250G        0000042U02841006900112000
  11231123010010018CREPES RIFLACLI          0000041U02842143900112000
  11251125010010005MOLIDO MEZCLA ROVI       0000446U02841220105112000
  11261126010010027TONIC.SCHWEPPE.E.P.6     0000308U02841410000112000
  11281128010010011RODAJAS MZA.EXT.400G     0000625U02841006300112000
  11291129010010005MERM. FRESA BEBE 340     0000120U02843602616003000
   113 113010010004CHORIZO GALLEGO          0000985W02            030
  11311131010010011ENSALADILLA 400G         0000110U03841009206113000
  11341134010010011JUDIAS VERDES PLANAS     0000139U03841009203113000
  11361136010010005MERM.MELOCT.BEBE 340     0000120U02843602616004000
  11391139010010019PISTON MEDIANO 250G      0000042U02841006900113000
   114 114010010004CHORIZO CANTIMPALO       0000954U02841400005503030
  11451145010010005POLLO FIDEOS KNORR       0000057U02841012704114000
   115 115010010004CHORIZO ASTURIANO        0001003W02            030
  11531153010010019TIBURON O 250            0000042U02841006900115000
   116 116010010004FUET EXTRA PLAÇA VIC     0000925U02842022210113030
  11601160010010019TIBURON 1 250G           0000042U02841006900116000
   117 117010010022JAMON IBER.RECB.CENT     0004808W02            030
  11711171010010005VINAG.PROCER CARBO/2     0000054U02841001000117000
  11731173010010011FILETE RAPE BILINGUE     0000780W02            000
  11771177010010027COCA COLA 20 CL 6U       0000334U02544900000117000
   118 118010010004FUET EXTRA S/PEBRE       0001128W02            030
  11801180010010005MARCI.MOL.MEZCLA 250     0000138U02841009118004000
  11841184010010019TIBURON 3 250            0000042U02841006900118000
  11851185010010005PIÑA EN CONSERVA         0000144U022400001185  000
  11871187010010015VINO DON GARCI.TINTO     0000073U01841026103118000
  11881188010010005MADALENAS  BAMBINO       0000066U02841143700118000
   119 119010010004FUET OFERTA              0000745W02            030
  11961196010010040PAQ.BOLSA BASURA         0000078U01841083500119000
    12  12010010002LIBRITOS LOMO CERDO      0000990W02            007
   120 120010010004HUESOS JAMON             0000391W02            030
  12011201010010005TORTA.ACET.INES ROSA     0000185U02841063711201000
  52665266010010018CHOC-KING'S              0000600W02841424700026000
  80258025010010006MOZZARELLA RALL.200G     0000197U03842224180253000
  12061206010010012FLORA PRO-ACTIV MARG     0000291U02841380001120000
  12081208010010005BARRITA 225G             0000171U02841012313120000
  12091209010010005SALSA SICILIANA 200G     0000160U02841118908120000
   121 121010010022JAMON PAIS BODEG.C/M     0002284W02            030
  12111211010010005MERM.CIRUEL.BEBE 820     0000247U02841041690121000
  12121212010010005MEJ.ESCAB.MARICADORA     0000104U02841115701212000
  12131213010010005MAIZ DULCE GUTAR.CRT     0000116U02841051413121000
  12141214010010012IOGURT DESNATAT 125G     0000140U02842008620121000
  12151215010010019RAVIO.QUESO SUIZO        0000279U02841017301121000
   122 122010010022JAMON PAIS OFER. CEN     0001324W02            030
  12211221010010012IOGURT NAT.AMP. 525      0000256U02842008620122000
  12231223010010012CUAJADA X2               0000111U02841050000122000
  12281228010010005MERM. FRESA BEBE 820     0000247U02841044690122000
   123 123010010004LOMO EMBUCHADO PAIS      0002195W02            030
  12351235010010005MERM.MELOCT.BEBE 820     0000247U02843602616013000
   124 124010010004JABUGUITOS               0001175W02            030
